fama, -ae, f.|rumour
forma, -ae, f.|shape
poena, -ae, f.|penalty
poeta, -ae, m.|poet
porta, -ae, f.|gate, entrance
puella, -ae, f.|girl
rosa, -ae, f.|rose
vita, -ae, f.|life
ager, agri, m.|farm
numerus, -i, m.|number
sapientia, -ae, f.|wisdom
vir, viri, m.|man, hero
basium, -ii, n.|kiss
bellum, -i, n.|war
consilium, -ii, n.|plan
cura, -ae, f.|care
donum, -i, n.|gift, present
exitium, -ii, n.|destruction, ruin
magister, magistri, m.|schoolmaster
magistra, -ae, f.|school mistress
mora, -ae, f.|delay
nihil, n.|nothing
oculus, -i, m.|eye
officium, -ii, n.|duty
otium, -ii, n.|leisure
periculum, -i, n.|danger
remedium, -ii, n.|cure, remedy
culpa, -ae, f.|fault, blame
gloria, -ae, f.|glory, fame
verbum, -i, n.|word
satis, n.|enough
dea, -ae, f.|goddess
deus, -i, m.|god
discipula, -ae, f.|male student
discipulus, -i, m.|female student
liber, libri, m.|book
tyrannus, -i, m.|tyrant
vitium, -ii, n.|fault
amor, amoris, m.|love
carmen, carminis, n.|song, poem
civitas, civitatis, f.|state, citizenship
corpus, corporis, n.|body
homo, hominis, m.|human being
nomen, nominis, n.|name
pax, pacis, f.|peace
regina, -ae, f.|queen
rex, regis, m.|king
tempus, temporis, n.|time
terra, -ae, f.|earth
uxor, uxoris, f.|wife
virgo, virginis, f.|maiden, virgin
frater, fratris, m.|brother
laus, laudis, f.|praise
libertas, libertatis, f.|liberty
